Taxon,Tip_Date
Acinonyx_jubatus,0
Acratocnus_odontrigonus,1.8764
Adapis_magnus,35.5314
Adinotherium_ovinum,16.9772
Aelurocyon_sp,21.7557
Aepyceros_melampus,0
Aetiocetus_cotylalveus,25.3353
Agriochoerus_sp,33.612
Ailuropoda_melanoleuca,0
Ailurus_fulgens,0
Aletomeryx_scotti,17.622
Allodesmus_gracilis,15.0135
Alouatta_palliata,0
Amblysomus_hottentotus,0
Anchitherium_agalensis,34.904
Anomalurus_beecrofti,0
Anoplotherium_commune,36.1388
Antilocapra_americana,0
Aotus_trivirgatus,0
Apternodus_brevirostris,35.6513
Archaeolemur_edwardsi,0
Arctictis_binturong,0
Arctodus_simum,0.0694
Arsinoitherium_zitteli,31.4662
Aselliscus_tricuspidatus,0
Astrapotherium_magnum,16.9206
Ateles_belzebuth,0
Atherurus_africanus,0
Balaenoptera_musculus,0
Barbourofelis_morrisi,11.9294
Bauerus_dubiaquercus,0
Bos_taurus,0
Brachyphylla_cavernarum,0
Bradypus_tridactylus,0
Brontops_brachycephalus,35.7023
Cacajao_calvus,0
Caenopus_copei,35.8034
Cainotherium_laticurvatum,31.5069
Callicebus_moloch,0
Callorhinus_ursinus,0
Callosciurus_caniceps,0
Camelus_dromedarius,0
Canis_lupus,0
Caperea_marginata,0
Capra_ibex,0
Capricornis_sumatraensis,0
Cardioderma_cor,0
Carterodon_sulcidens,0
Castor_canadensis,0
Castoroides_kansensis,1.3096
Castoroides_ohioensis,1.6529
Cavia_aperea,0
Cebupithecia_sarmientai,12.6835
Centurio_senex,0
Cephalophus_nigrifrons,0
Cephalorhynchus_commersonii,0
Ceratogaulus_hatcheri,0
Cervus_elaphus,0
Cheirogaleus_medius,0
Chironax_melanocephalus,0
Choeropsis_liberiensis,0
Choloepus_hoffmanni,0
Chrotopterus_auritus,0
Chrysospalax_trevelyani,0
Cistugo_lesueuri,0
Coelodonta_antiquitatus,1.8609
Coendou_rufescens,0
Coendou_spinosus,0
Colobus_guereza,0
Coronodon_havensteini,30.6454
Coryphodon_hamatus,52.0318
Cotylocara_macei,25.7361
Craseonycteris_thonglongyai,0
Cricetomys_gambianus,0
Cricetus_cricetus,0
Ctenomys_knighti,0
Cuniculus_paca,0
Cyclopes_didactylus,0
Cynocephalus_volans,0
Cynomys_ludovicianus,0
Dacrytherium_sp,39.389
Daphoenus_vetus,33.6078
Dasyprocta_mexicana,0
Dasypus_novemcinctus,0
Daubentonia_madagascariensis,0
Delphinapterus_leucas,0
Delphinus_delphis,0
Deomys_ferrugineus,0
Desmocyon_matthewsi,18.2796
Diaemus_youngi,0
Diceros_bicornis,0
Dinictis_squalidens,33.605
Diplacodon_progressum,42.4712
Dipodomys_ordii,0
Dobsonia_moluccensis,0
Dolichotis_patagonum,0
Dorudon_atrox,36.1299
Duchesneodus_uintensis,38.7826
Dugong_dugon,0
Dusisiren_jordani,9.2075
Echinosorex_gymnura,0
Elasmotherium_sp,4.2592
Elephas_maximus,0
Eleutherocercus_tucumanus,6.5925
Elotherium_sp,48.0339
Entoptychus_sp,22.7441
Epimanteoceras_formusus,42.994
Eporeodon_meagherensis,28.588
Equus_caballus,0
Erethizon_dorsatum,0
Erinaceus_europaeus,0
Eschrichtius_robustus,0
Eubalaena_australis,0
Tapirus_terrestris,0
Euhapsis_ellicottae,22.4752
Eulemur_macaco,0
Eusmilus_dakotensis,32.4542
Fossa_fossana,0
Fukomys_mechowi,0
Furipterus_horrens,0
Galidia_elegans,0
Giraffa_camelopardalis,0
Glaucomys_sabrinus,0
Glossotherium_robustum,1.8891
Glyptodon_typus,1.977
Gorilla_gorilla,0
Graphiurus_murinus,0
Hapalops_elongatus,16.8439
Harpagolestes_macrocephalus,48.3868
Helarctos_malayanus,0
Hemigalus_derbyanus,0
Herpestes_javanicus,0
Hesperogaulus_wilsoni,11.7102
Hipposideros_armiger,0
Hippotragus_equinus,0
Holmesina_occidentalis,0.5634
Homocamelus_caninus,14.7558
Homotherium_sp,3.2795
Hoplophoneus_primaevus,33.5836
Hyaena_hyaena,0
Hyaenodon_paucidens,33.6032
Hydropotes_inermis,0
Hylobates_lar,0
Hyracodon_nebraskensis,35.184
Hystrix_cristata,0
Ictidomys_tridecemlineatus,0
Ictitherium_viverrinum,6.0213
Ictops_dakotensis,35.6341
Indri_indri,0
Inia_geoffrensis,0
Kannabateomys_amblyonyx,0
Kerivoula_minuta,0
Kerodon_rupestris,0
Kobus_ellipsiprymnus,0
Kogia_breviceps,0
Lagenorhynchus_albirostris,0
Lasionycteris_noctivagans,0
Leontopithecus_rosalia,0
Lepilemur_microdon,0
Leptictis_sp,35.6281
Lepus_californicus,0
Lontra_felina,0
Loris_tardigradus,0
Macrauchenia_sp,8.0103
Macroeuphractus_sp,8.0454
Macroscelides_proboscideus,0
Manis_javanica,0
Massoutiera_mzabi,0
Megaladapis_edwardsi,0
Megaptera_novaeangliae,0
Megatherium_americanum,0.5561
Mephitis_mephitis,0
Merycochoerus_proprius,18.4188
Mesocyon_coryphaeus,23.9549
Mesohippus_meteulophus,32.0131
Mesoplodon_europaeus,0
Metarhinus_fluviatilis,43.4535
Micropteropus_pusillus,0
Miniochoerus_gracilis,33.5787
Miniopterus_australis,0
Miolabis_fricki,14.802
Moeritherium_andrewsi,30.706
Molossus_rufus,0
Monachus_monachus,0
Mops_thersites,0
Moropus_elatus,22.8765
Moschus_moschiferus,0
Muntiacus_muntjak,0
Myocastor_coypus,0
Myodes_gapperi,0
Myospalax_psilurus,0
Myotis_vivesi,0
Mystacina_tuberculata,0
Myzopoda_aurita,0
Nandinia_binotata,0
Natalus_major,0
Neofelis_nebulosa,0
Neohipparion_affine,12.109
Neoparadoxia_cecilialina,9.8481
Neoreomys_australis,16.7612
Neoromicia_nana,0
Neotherium_mirum,14.7746
Neotoma_albigula,0
Nesomys_rufus,0
Noctilio_albiventris,0
Nothrotheriops_sp,1.309
Notostylops_pendens,42.9499
Nycteris_tragata,0
Ochotona_pallasi,0
Odobenocetops_peruvianus,6.1783
Odobenus_rosmarus,0
Onychomys_leucogaster,0
Oodectes_sp,48.1099
Orycteropus_afer,0
Oryctolagus_cuniculus,0
Osbornodon_fricki,18.2763
Otolemur_crassicaudatus,0
Otomys_angoniensis,0
Paedotherium_chapadmalensis,2.713
Pakicetus_attocki,43.7383
Palaeocastor_fossor,22.4562
Palaeoprionodon_lamandini,31.7736
Palaeopropithecus_maximus,0
Pan_troglodytes,0
Papio_hamadryas,0
Paraceratherium_sp,31.4095
Paradoxurus_hermaphroditus,0
Parahippus_tyleri,22.867
Pedetes_capensis,0
Petromus_typicus,0
Petromyscus_shortridgei,0
Phenacocoelus_stouti,35.1783
Phocoena_phocoena,0
Physeter_macrocephalus,0
Pipistrellus_hesperidus,0
Platanista_gangetica,0
Platygonus_compressus,0.0717
Plesictis_lemanensis,21.8556
Pleurolestodon_aequidens,7.7936
Poebrotherium_sp,33.612
Pongo_pygmaeus,0
Pontoporia_blainvillei,0
Potamogale_velox,0
Potamotherium_valetoni,21.7658
Potos_flavus,0
Prionodon_pardicolor,0
Procavia_capensis,0
Prodeinotherium_hobleyi,20.1
Proechimys_cuvieri,0
Proneotherium_repenningi,17.5429
Propalaehoplophorus_australis,16.8257
Proteles_cristata,0
Protosiren_sp,43.6997
Protypotherium_attenuatum,16.8924
Pseudorca_crassidens,0
Pterodon_dasyuroides,35.8322
Pteronarctos_goedertae,18.5472
Pteropus_niger,0
Ptilocercus_lowii,0
Puelia_coarctatus,39.5246
Puma_concolor,0
Ratufa_affinis,0
Reithrodontomys_megalotis,0
Rhinolophus_acuminatus,0
Rhinonicteris_aurantia,0
Rhinopoma_hardwickii,0
Rhizomys_sinensis,0
Rhynchocyon_petersi,0
Saccolaimus_saccolaimus,0
Saiga_tatarica,0
Saimiri_sciureus,0
Sapajus_apella,0
Scalopus_aquaticus,0
Scelidotherium_sp,1.8865
Schizodelphis_morckhoviensis,13.1873
Sigmodon_leucotis,0
Sinorhinus_cornutus,41.6623
Smilodon_sp,0.1719
Solenodon_paradoxus,0
Sorex_monticolus,0
Spalax_leucodon,0
Stegotherium_tesselatum,16.9496
Steno_bredanensis,0
Stenopsochoerus_sternbergi,33.5979
Stromeriella_franconica,18.1112
Sus_scrofa,0
Syndyoceras_cooki,22.9344
Tachyoryctes_splendens,0
Tadarida_brasiliensis,0
Talpa_occidentalis,0
Tamandua_tetradactyla,0
Tamias_striatus,0
Tamiasciurus_douglasii,0
Tarsius_tarsier,0
Taxidea_taxus,0
Tayassu_pecari,0
Teleoceras_medicornutus,18.3938
Tenrec_ecaudatus,0
Tetracerus_quadricornis,0
Thalassocnus_sp,9.2733
Thoatherium_minisculum,16.9277
Thomomys_talpoides,0
Thryonomys_swinderianus,0
Thyroptera_tricolor,0
Tolypeutes_tricinctus,0
Tomopeas_ravus,0
Tragelaphus_scriptus,0
Tragulus_javanicus,0
Trichechus_senegalensis,0
Trogosus_grangeri,48.3663
Tupaia_glis,0
Tursiops_truncatus,0
Tylomys_nudicaudus,0
Tympanoctomys_barrerae,0
Uintatherium_anceps,48.4798
Vampyrum_spectrum,0
Viverra_tangalunga,0
Vulpes_pallida,0
Xiphiacetus_bossi,17.5007
Zalophus_californianus,0
Zapus_hudsonius,0
Zodiolestes_sp,21.7775